Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,Order Day,Order Month,Order Year,month_no,Month,year,Profit Margin,Discount Amount,Sales Per Unit
OD22,Alan,Food Grains,Dals & Pulses,Karur,2017-12-09,Central,948,0.13,47.4,Tamil Nadu,9,12,2017,12,December,2017,5.0,123.24,1089.66
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,2017-12-09,Central,707,0.34,148.47,Tamil Nadu,9,12,2017,12,December,2017,21.0,240.38,1071.21
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,Central,1265,0.22,569.25,Tamil Nadu,8,12,2017,12,December,2017,45.0,278.3,1621.79
OD37,James,Beverages,Soft Drinks,Salem,2017-12-08,Central,934,0.35,56.04,Tamil Nadu,8,12,2017,12,December,2017,6.0,326.9,1436.92
OD42,Arutra,Beverages,Soft Drinks,Salem,2018-09-10,Central,1868,0.18,616.44,Tamil Nadu,10,9,2018,9,September,2018,33.0,336.24,2278.05
OD45,Amrish,Bakery,Biscuits,Krishnagiri,2017-03-11,Central,1663,0.17,731.72,Tamil Nadu,11,3,2017,3,March,2017,44.0,282.71,2003.61
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,Central,1420,0.19,355.0,Tamil Nadu,11,3,2017,3,March,2017,25.0,269.8,1753.09
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,East,627,0.33,181.83,Tamil Nadu,11,12,2017,12,December,2017,29.0,206.91,935.82
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,East,760,0.28,60.8,Tamil Nadu,11,12,2017,12,December,2017,8.0,212.8,1055.56
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,West,1160,0.16,510.4,Tamil Nadu,5,12,2015,12,December,2015,44.0,185.6,1380.95
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,2015-12-05,West,1294,0.23,77.64,Tamil Nadu,5,12,2015,12,December,2015,6.0,297.62,1680.52
OD70,Peer,Oil & Masala,Masalas,Ooty,2017-06-04,South,1232,0.14,554.4,Tamil Nadu,4,6,2017,6,June,2017,45.0,172.48,1432.56
OD76,Veronica,Beverages,Soft Drinks,Bodi,2018-12-09,Central,1489,0.12,193.57,Tamil Nadu,9,12,2018,12,December,2018,13.0,178.68,1692.05
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,Central,1250,0.27,75.0,Tamil Nadu,9,12,2018,12,December,2018,6.0,337.5,1712.33
OD78,Anu,Snacks,Noodles,Coimbatore,2018-12-09,Central,1358,0.31,488.88,Tamil Nadu,9,12,2018,12,December,2018,36.0,420.98,1968.12
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,South,2303,0.26,621.81,Tamil Nadu,12,6,2017,6,June,2017,27.0,598.78,3112.16
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,2017-06-12,South,2027,0.34,912.15,Tamil Nadu,12,6,2017,6,June,2017,45.0,689.18,3071.21
OD82,Amy,Food Grains,Atta & Flour,Bodi,2015-10-12,West,1739,0.29,765.16,Tamil Nadu,12,10,2015,10,October,2015,44.0,504.31,2449.3
OD83,Komal,Oil & Masala,Spices,Cumbum,2015-10-12,West,990,0.26,227.7,Tamil Nadu,12,10,2015,10,October,2015,23.0,257.4,1337.84
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,2016-09-03,South,2354,0.11,682.66,Tamil Nadu,3,9,2016,9,September,2016,29.0,258.94,2644.94
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,2017-04-05,Central,2111,0.21,189.99,Tamil Nadu,5,4,2017,4,April,2017,9.0,443.31,2672.15
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,West,1230,0.13,442.8,Tamil Nadu,6,11,2018,11,November,2018,36.0,159.9,1413.79
OD97,Sudha,Food Grains,Atta & Flour,Ooty,2018-11-09,East,1856,0.21,723.84,Tamil Nadu,9,11,2018,11,November,2018,39.0,389.76,2349.37
OD99,Vince,Snacks,Chocolates,Dharmapuri,2017-09-06,Central,2301,0.28,391.17,Tamil Nadu,6,9,2017,9,September,2017,17.0,644.28,3195.83
OD103,Vinne,Snacks,Chocolates,Nagercoil,2017-12-01,Central,567,0.18,175.77,Tamil Nadu,1,12,2017,12,December,2017,31.0,102.06,691.46
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,2017-11-03,Central,2220,0.1,111.0,Tamil Nadu,3,11,2017,11,November,2017,5.0,222.0,2466.67
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,Central,2155,0.3,581.85,Tamil Nadu,3,11,2017,11,November,2017,27.0,646.5,3078.57
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,West,983,0.11,186.77,Tamil Nadu,2,3,2016,3,March,2016,19.0,108.13,1104.49
OD119,Akash,Food Grains,Rice,Chennai,2016-04-05,South,903,0.1,90.3,Tamil Nadu,5,4,2016,4,April,2016,10.0,90.3,1003.33
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,East,1235,0.12,74.1,Tamil Nadu,12,6,2017,6,June,2017,6.0,148.2,1403.41
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,East,1243,0.24,174.02,Tamil Nadu,12,6,2017,6,June,2017,14.0,298.32,1635.53
OD122,Harish,Bakery,Cakes,Krishnagiri,2017-06-12,East,649,0.34,201.19,Tamil Nadu,12,6,2017,6,June,2017,31.0,220.66,983.33
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,East,2354,0.11,188.32,Tamil Nadu,12,6,2017,6,June,2017,8.0,258.94,2644.94
OD124,Anu,Beverages,Soft Drinks,Cumbum,2017-06-12,East,1443,0.27,187.59,Tamil Nadu,12,6,2017,6,June,2017,13.0,389.61,1976.71
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,West,2352,0.17,870.24,Tamil Nadu,5,11,2018,11,November,2018,37.0,399.84,2833.73
OD128,Harish,Oil & Masala,Spices,Tirunelveli,2018-11-05,West,1293,0.23,336.18,Tamil Nadu,5,11,2018,11,November,2018,26.0,297.39,1679.22
OD129,Sharon,Food Grains,Rice,Bodi,2017-11-06,West,1458,0.29,597.78,Tamil Nadu,6,11,2017,11,November,2017,41.0,422.82,2053.52
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,2017-11-06,West,1801,0.22,126.07,Tamil Nadu,6,11,2017,11,November,2017,7.0,396.22,2308.97
OD131,Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261,0.29,416.13,Tamil Nadu,2,2,2018,2,February,2018,33.0,365.69,1776.06
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2018-02-02,East,2112,0.28,105.6,Tamil Nadu,2,2,2018,2,February,2018,5.0,591.36,2933.33
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,East,640,0.24,140.8,Tamil Nadu,2,2,2018,2,February,2018,22.0,153.6,842.11
OD141,Veena,Bakery,Biscuits,Perambalur,2017-09-05,East,866,0.32,381.04,Tamil Nadu,5,9,2017,9,September,2017,44.0,277.12,1273.53
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,West,1551,0.13,573.87,Tamil Nadu,7,9,2016,9,September,2016,37.0,201.63,1782.76
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,Central,1125,0.33,292.5,Tamil Nadu,5,12,2017,12,December,2017,26.0,371.25,1679.1
OD149,Veronica,Beverages,Health Drinks,Tenkasi,2017-12-05,Central,768,0.1,184.32,Tamil Nadu,5,12,2017,12,December,2017,24.0,76.8,853.33
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,Central,1985,0.26,734.45,Tamil Nadu,5,12,2017,12,December,2017,37.0,516.1,2682.43
OD151,Muneer,Food Grains,Rice,Bodi,2017-12-05,Central,2287,0.13,1029.15,Tamil Nadu,5,12,2017,12,December,2017,45.0,297.31,2628.74
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,West,1774,0.15,620.9,Tamil Nadu,1,3,2015,3,March,2015,35.0,266.1,2087.06
OD161,Yadav,Beverages,Soft Drinks,Ooty,2017-05-11,West,713,0.3,192.51,Tamil Nadu,11,5,2017,5,May,2017,27.0,213.9,1018.57
OD164,Hussain,Snacks,Cookies,Theni,2017-11-07,West,1516,0.32,121.28,Tamil Nadu,7,11,2017,11,November,2017,8.0,485.12,2229.41
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,Central,1442,0.28,605.64,Tamil Nadu,8,9,2015,9,September,2015,42.0,403.76,2002.78
OD166,Sudha,Beverages,Health Drinks,Madurai,2015-09-08,Central,1690,0.33,422.5,Tamil Nadu,8,9,2015,9,September,2015,25.0,557.7,2522.39
OD167,Adavan,Snacks,Chocolates,Bodi,2015-09-08,Central,2021,0.13,343.57,Tamil Nadu,8,9,2015,9,September,2015,17.0,262.73,2322.99
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,Central,2340,0.25,491.4,Tamil Nadu,8,9,2015,9,September,2015,21.0,585.0,3120.0
OD169,Krithika,Oil & Masala,Spices,Viluppuram,2015-09-08,Central,705,0.15,176.25,Tamil Nadu,8,9,2015,9,September,2015,25.0,105.75,829.41
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,Central,1215,0.2,60.75,Tamil Nadu,8,9,2015,9,September,2015,5.0,243.0,1518.75
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,Central,552,0.25,237.36,Tamil Nadu,8,9,2015,9,September,2015,43.0,138.0,736.0
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,2015-08-05,West,1412,0.11,564.8,Tamil Nadu,5,8,2015,8,August,2015,40.0,155.32,1586.52
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,West,791,0.32,150.29,Tamil Nadu,5,8,2015,8,August,2015,19.0,253.12,1163.24
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,West,2476,0.33,420.92,Tamil Nadu,5,8,2015,8,August,2015,17.0,817.08,3695.52
OD181,Arvind,Snacks,Cookies,Bodi,2015-12-05,Central,1605,0.25,433.35,Tamil Nadu,5,12,2015,12,December,2015,27.0,401.25,2140.0
OD182,Ravi,Beverages,Health Drinks,Namakkal,2015-12-05,Central,1718,0.2,171.8,Tamil Nadu,5,12,2015,12,December,2015,10.0,343.6,2147.5
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,2016-10-12,East,1433,0.3,472.89,Tamil Nadu,12,10,2016,10,October,2016,33.0,429.9,2047.14
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,East,2093,0.11,334.88,Tamil Nadu,12,10,2016,10,October,2016,16.0,230.23,2351.69
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,East,2149,0.17,623.21,Tamil Nadu,12,10,2016,10,October,2016,29.0,365.33,2589.16
OD193,Anu,Beverages,Health Drinks,Dharmapuri,2016-10-12,East,1972,0.32,414.12,Tamil Nadu,12,10,2016,10,October,2016,21.0,631.04,2900.0
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,2016-10-12,East,2060,0.25,432.6,Tamil Nadu,12,10,2016,10,October,2016,21.0,515.0,2746.67
OD198,Verma,Food Grains,Organic Staples,Pudukottai,2018-11-06,East,914,0.34,338.18,Tamil Nadu,6,11,2018,11,November,2018,37.0,310.76,1384.85
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,2018-07-06,East,1352,0.3,527.28,Tamil Nadu,6,7,2018,7,July,2018,39.0,405.6,1931.43
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,2018-07-06,East,682,0.25,170.5,Tamil Nadu,6,7,2018,7,July,2018,25.0,170.5,909.33
OD202,Vidya,Bakery,Cakes,Salem,2015-08-03,West,2421,0.25,484.2,Tamil Nadu,3,8,2015,8,August,2015,20.0,605.25,3228.0
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,2015-08-03,West,2245,0.24,404.1,Tamil Nadu,3,8,2015,8,August,2015,18.0,538.8,2953.95
OD205,Ram,Oil & Masala,Spices,Virudhunagar,2018-06-03,South,1033,0.3,185.94,Tamil Nadu,3,6,2018,6,June,2018,18.0,309.9,1475.71
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,2018-12-09,West,1998,0.29,139.86,Tamil Nadu,9,12,2018,12,December,2018,7.0,579.42,2814.08
OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,2018-12-01,Central,1469,0.15,646.36,Tamil Nadu,1,12,2018,12,December,2018,44.0,220.35,1728.24
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,2018-12-01,Central,1899,0.25,360.81,Tamil Nadu,1,12,2018,12,December,2018,19.0,474.75,2532.0
OD209,Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,2018-12-01,Central,2194,0.2,153.58,Tamil Nadu,1,12,2018,12,December,2018,7.0,438.8,2742.5
OD210,Amrish,Beverages,Soft Drinks,Vellore,2018-12-01,Central,1942,0.29,504.92,Tamil Nadu,1,12,2018,12,December,2018,26.0,563.18,2735.21
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,2018-12-01,Central,609,0.3,207.06,Tamil Nadu,1,12,2018,12,December,2018,34.0,182.7,870.0
OD212,Verma,"Eggs, Meat & Fish",Chicken,Trichy,2016-02-09,Central,2353,0.26,423.54,Tamil Nadu,9,2,2016,2,February,2016,18.0,611.78,3179.73
OD213,Peer,Beverages,Soft Drinks,Salem,2016-01-02,East,1591,0.15,270.47,Tamil Nadu,2,1,2016,1,January,2016,17.0,238.65,1871.76
OD214,Arutra,Food Grains,Rice,Krishnagiri,2016-01-02,East,1353,0.11,527.67,Tamil Nadu,2,1,2016,1,January,2016,39.0,148.83,1520.22
OD215,Jonas,Beverages,Health Drinks,Namakkal,2016-01-02,East,1020,0.21,81.6,Tamil Nadu,2,1,2016,1,January,2016,8.0,214.2,1291.14
OD216,Harish,Snacks,Noodles,Ramanadhapuram,2016-01-02,East,1362,0.31,177.06,Tamil Nadu,2,1,2016,1,January,2016,13.0,422.22,1973.91
OD217,Sundar,Food Grains,Rice,Krishnagiri,2016-01-02,East,1733,0.31,433.25,Tamil Nadu,2,1,2016,1,January,2016,25.0,537.23,2511.59
OD226,Verma,"Eggs, Meat & Fish",Chicken,Tirunelveli,2016-08-09,Central,621,0.24,173.88,Tamil Nadu,9,8,2016,8,August,2016,28.0,149.04,817.11
OD227,Komal,Food Grains,Organic Staples,Madurai,2016-08-09,Central,1230,0.17,295.2,Tamil Nadu,9,8,2016,8,August,2016,24.0,209.1,1481.93
OD228,Harish,Snacks,Cookies,Salem,2016-08-09,Central,560,0.34,240.8,Tamil Nadu,9,8,2016,8,August,2016,43.0,190.4,848.48
OD232,Komal,Beverages,Soft Drinks,Namakkal,2018-04-07,South,1480,0.22,444.0,Tamil Nadu,7,4,2018,4,April,2018,30.0,325.6,1897.44
OD233,Komal,Food Grains,Dals & Pulses,Salem,2018-04-07,South,826,0.18,247.8,Tamil Nadu,7,4,2018,4,April,2018,30.0,148.68,1007.32
OD234,Ramesh,Snacks,Cookies,Ooty,2018-04-07,South,1846,0.22,276.9,Tamil Nadu,7,4,2018,4,April,2018,15.0,406.12,2366.67
OD235,Mathew,Beverages,Soft Drinks,Viluppuram,2018-04-07,South,2045,0.12,552.15,Tamil Nadu,7,4,2018,4,April,2018,27.0,245.4,2323.86
OD236,Vince,Fruits & Veggies,Organic Fruits,Nagercoil,2018-04-07,South,1983,0.17,773.37,Tamil Nadu,7,4,2018,4,April,2018,39.0,337.11,2389.16
OD237,Shah,Bakery,Cakes,Bodi,2018-11-12,West,650,0.16,247.0,Tamil Nadu,12,11,2018,11,November,2018,38.0,104.0,773.81
OD238,Ravi,Bakery,Breads & Buns,Ramanadhapuram,2017-06-04,Central,2163,0.31,216.3,Tamil Nadu,4,6,2017,6,June,2017,10.0,670.53,3134.78
OD239,Adavan,Fruits & Veggies,Organic Vegetables,Bodi,2017-06-04,Central,1481,0.15,518.35,Tamil Nadu,4,6,2017,6,June,2017,35.0,222.15,1742.35
OD240,Arvind,Snacks,Cookies,Trichy,2017-06-04,Central,2492,0.14,124.6,Tamil Nadu,4,6,2017,6,June,2017,5.0,348.88,2897.67
OD241,Ramesh,Bakery,Cakes,Nagercoil,2017-06-04,Central,962,0.33,423.28,Tamil Nadu,4,6,2017,6,June,2017,44.0,317.46,1435.82
OD242,Malik,Beverages,Health Drinks,Coimbatore,2017-06-04,Central,1432,0.3,214.8,Tamil Nadu,4,6,2017,6,June,2017,15.0,429.6,2045.71
OD243,Muneer,Oil & Masala,Edible Oil & Ghee,Virudhunagar,2017-06-04,Central,523,0.12,78.45,Tamil Nadu,4,6,2017,6,June,2017,15.0,62.76,594.32
OD244,Amy,Oil & Masala,Masalas,Chennai,2017-06-04,Central,1540,0.11,646.8,Tamil Nadu,4,6,2017,6,June,2017,42.0,169.4,1730.34
OD245,Roshan,Bakery,Biscuits,Coimbatore,2015-06-01,Central,817,0.15,326.8,Tamil Nadu,1,6,2015,6,June,2015,40.0,122.55,961.18
OD246,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2015-06-01,Central,2462,0.31,369.3,Tamil Nadu,1,6,2015,6,June,2015,15.0,763.22,3568.12
OD247,Sudeep,Fruits & Veggies,Organic Fruits,Perambalur,2015-06-01,Central,962,0.21,288.6,Tamil Nadu,1,6,2015,6,June,2015,30.0,202.02,1217.72
OD248,Ridhesh,Beverages,Health Drinks,Cumbum,2015-06-01,Central,538,0.19,59.18,Tamil Nadu,1,6,2015,6,June,2015,11.0,102.22,664.2
OD249,Ravi,Snacks,Cookies,Ooty,2015-06-01,Central,1556,0.17,482.36,Tamil Nadu,1,6,2015,6,June,2015,31.0,264.52,1874.7
OD250,James,Beverages,Health Drinks,Vellore,2017-12-10,West,2133,0.26,959.85,Tamil Nadu,10,12,2017,12,December,2017,45.0,554.58,2882.43
OD251,Mathew,Beverages,Health Drinks,Tirunelveli,2017-09-11,West,1474,0.14,235.84,Tamil Nadu,11,9,2017,9,September,2017,16.0,206.36,1713.95
OD252,Amrish,Beverages,Health Drinks,Dindigul,2017-09-11,West,531,0.14,127.44,Tamil Nadu,11,9,2017,9,September,2017,24.0,74.34,617.44
OD253,Ramesh,Food Grains,Rice,Pudukottai,2017-12-10,East,1769,0.19,636.84,Tamil Nadu,10,12,2017,12,December,2017,36.0,336.11,2183.95
OD254,Surya,Fruits & Veggies,Organic Vegetables,Pudukottai,2017-12-10,East,1257,0.34,62.85,Tamil Nadu,10,12,2017,12,December,2017,5.0,427.38,1904.55
OD259,Esther,Beverages,Soft Drinks,Dharmapuri,2018-12-01,East,660,0.29,290.4,Tamil Nadu,1,12,2018,12,December,2018,44.0,191.4,929.58
OD260,Shree,Bakery,Breads & Buns,Salem,2018-12-01,East,2114,0.32,359.38,Tamil Nadu,1,12,2018,12,December,2018,17.0,676.48,3108.82
OD261,Sabeela,Oil & Masala,Masalas,Tenkasi,2018-12-01,East,1278,0.14,63.9,Tamil Nadu,1,12,2018,12,December,2018,5.0,178.92,1486.05
OD262,Ravi,Food Grains,Organic Staples,Krishnagiri,2018-06-08,Central,867,0.18,216.75,Tamil Nadu,8,6,2018,6,June,2018,25.0,156.06,1057.32
OD265,Jonas,"Eggs, Meat & Fish",Fish,Cumbum,2017-06-06,Central,1200,0.19,420.0,Tamil Nadu,6,6,2017,6,June,2017,35.0,228.0,1481.48
OD266,Harish,Fruits & Veggies,Organic Vegetables,Tirunelveli,2016-11-10,West,1167,0.18,256.74,Tamil Nadu,10,11,2016,11,November,2016,22.0,210.06,1423.17
OD269,Adavan,Bakery,Cakes,Dharmapuri,2018-12-09,East,1507,0.16,180.84,Tamil Nadu,9,12,2018,12,December,2018,12.0,241.12,1794.05
OD270,Suresh,Beverages,Soft Drinks,Namakkal,2018-12-09,East,1612,0.11,612.56,Tamil Nadu,9,12,2018,12,December,2018,38.0,177.32,1811.24
OD283,Sheeba,Beverages,Soft Drinks,Chennai,2016-11-02,West,1007,0.24,433.01,Tamil Nadu,2,11,2016,11,November,2016,43.0,241.68,1325.0
OD305,Anu,Oil & Masala,Edible Oil & Ghee,Kanyakumari,2016-05-04,East,931,0.14,297.92,Tamil Nadu,4,5,2016,5,May,2016,32.0,130.34,1082.56
OD307,Verma,Fruits & Veggies,Fresh Fruits,Ooty,2015-06-01,East,2396,0.35,383.36,Tamil Nadu,1,6,2015,6,June,2015,16.0,838.6,3686.15
OD308,Sundar,Oil & Masala,Spices,Pudukottai,2015-06-01,East,1677,0.18,586.95,Tamil Nadu,1,6,2015,6,June,2015,35.0,301.86,2045.12
OD310,Vinne,Snacks,Noodles,Namakkal,2017-09-12,West,1401,0.26,196.14,Tamil Nadu,12,9,2017,9,September,2017,14.0,364.26,1893.24
OD311,Peer,Oil & Masala,Edible Oil & Ghee,Viluppuram,2017-09-12,West,678,0.29,189.84,Tamil Nadu,12,9,2017,9,September,2017,28.0,196.62,954.93
OD312,Harish,Snacks,Chocolates,Vellore,2017-09-12,West,2417,0.28,797.61,Tamil Nadu,12,9,2017,9,September,2017,33.0,676.76,3356.94
OD313,Willams,Beverages,Soft Drinks,Theni,2017-09-12,West,2211,0.18,641.19,Tamil Nadu,12,9,2017,9,September,2017,29.0,397.98,2696.34
OD315,Arutra,"Eggs, Meat & Fish",Mutton,Krishnagiri,2015-08-09,South,1835,0.29,660.6,Tamil Nadu,9,8,2015,8,August,2015,36.0,532.15,2584.51
OD316,Malik,Snacks,Noodles,Chennai,2015-08-09,South,2281,0.22,775.54,Tamil Nadu,9,8,2015,8,August,2015,34.0,501.82,2924.36
OD318,Arvind,Bakery,Cakes,Vellore,2015-11-04,East,1123,0.23,89.84,Tamil Nadu,4,11,2015,11,November,2015,8.0,258.29,1458.44
OD319,Sudeep,Snacks,Cookies,Viluppuram,2015-11-04,East,1079,0.24,410.02,Tamil Nadu,4,11,2015,11,November,2015,38.0,258.96,1419.74
OD320,Arvind,Food Grains,Organic Staples,Krishnagiri,2015-11-04,East,1027,0.16,328.64,Tamil Nadu,4,11,2015,11,November,2015,32.0,164.32,1222.62
OD321,Alan,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2015-11-04,East,1771,0.28,602.14,Tamil Nadu,4,11,2015,11,November,2015,34.0,495.88,2459.72
OD322,Sheeba,Oil & Masala,Spices,Karur,2015-11-04,East,1171,0.16,363.01,Tamil Nadu,4,11,2015,11,November,2015,31.0,187.36,1394.05
OD326,Ravi,Food Grains,Rice,Krishnagiri,2018-11-03,South,1400,0.17,406.0,Tamil Nadu,3,11,2018,11,November,2018,29.0,238.0,1686.75
OD335,Verma,Oil & Masala,Spices,Perambalur,2016-09-01,West,1228,0.25,442.08,Tamil Nadu,1,9,2016,9,September,2016,36.0,307.0,1637.33
OD336,Yadav,Food Grains,Rice,Perambalur,2016-09-01,West,1501,0.24,210.14,Tamil Nadu,1,9,2016,9,September,2016,14.0,360.24,1975.0
OD337,Alan,Fruits & Veggies,Organic Vegetables,Nagercoil,2016-09-01,West,1094,0.26,415.72,Tamil Nadu,1,9,2016,9,September,2016,38.0,284.44,1478.38
OD338,Hussain,Bakery,Cakes,Dharmapuri,2015-07-12,West,1179,0.2,106.11,Tamil Nadu,12,7,2015,7,July,2015,9.0,235.8,1473.75
OD339,Suresh,Food Grains,Atta & Flour,Viluppuram,2015-07-12,West,1127,0.29,416.99,Tamil Nadu,12,7,2015,7,July,2015,37.0,326.83,1587.32
OD347,Suresh,Fruits & Veggies,Organic Vegetables,Pudukottai,2018-07-08,East,1113,0.21,356.16,Tamil Nadu,8,7,2018,7,July,2018,32.0,233.73,1408.86
OD348,Roshan,Food Grains,Rice,Theni,2018-07-08,East,1966,0.1,629.12,Tamil Nadu,8,7,2018,7,July,2018,32.0,196.6,2184.44
OD349,Haseena,"Eggs, Meat & Fish",Chicken,Madurai,2018-07-08,East,2138,0.13,684.16,Tamil Nadu,8,7,2018,7,July,2018,32.0,277.94,2457.47
OD350,Sabeela,Food Grains,Atta & Flour,Bodi,2017-09-01,East,978,0.17,68.46,Tamil Nadu,1,9,2017,9,September,2017,7.0,166.26,1178.31
OD351,Willams,Fruits & Veggies,Fresh Vegetables,Karur,2017-09-01,East,2014,0.26,684.76,Tamil Nadu,1,9,2017,9,September,2017,34.0,523.64,2721.62
OD352,Shah,Bakery,Breads & Buns,Viluppuram,2017-09-01,East,645,0.21,187.05,Tamil Nadu,1,9,2017,9,September,2017,29.0,135.45,816.46
OD353,Krithika,Food Grains,Rice,Karur,2017-09-01,East,2194,0.12,680.14,Tamil Nadu,1,9,2017,9,September,2017,31.0,263.28,2493.18
